type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2024-10-04 12:43:52,49.68211675,18.38630391,3.79,364.886,,25.510,94,36,40,,
T,2024-10-04 12:43:53,49.68210192,18.38665679,3.79,364.987,,25.560,94,35,39,,
T,2024-10-04 12:43:54,49.68208662,18.38701091,3.79,365.224,,25.590,94,35,38,,
T,2024-10-04 12:43:55,49.68207010,18.38735990,3.79,365.122,,25.620,94,36,39,,
T,2024-10-04 12:43:56,49.68205375,18.38771406,3.79,365.291,,25.650,94,36,39,,
T,2024-10-04 12:43:57,49.68203796,18.38806767,3.79,365.480,,25.680,94,35,38,,
T,2024-10-04 12:43:58,49.68201869,18.38842645,3.79,365.700,,25.710,95,35,38,,
T,2024-10-04 12:43:59,49.68200051,18.38878286,3.79,365.591,,25.720,95,34,38,,
T,2024-10-04 12:44:00,49.68198073,18.38914040,3.79,365.748,,25.750,95,34,38,,
T,2024-10-04 12:44:01,49.68196080,18.38949972,3.79,365.856,,25.780,95,33,37,,
T,2024-10-04 12:44:02,49.68193867,18.38985377,3.79,365.893,,25.810,96,33,36,,
T,2024-10-04 12:44:03,49.68191538,18.39021283,3.79,365.781,,25.830,96,33,37,,
T,2024-10-04 12:44:04,49.68189112,18.39057360,3.79,365.948,,25.840,96,34,37,,
T,2024-10-04 12:44:05,49.68186640,18.39092840,3.79,366.159,,25.860,97,34,37,,
T,2024-10-04 12:44:06,49.68183623,18.39128229,3.79,366.289,,25.880,97,34,36,,
T,2024-10-04 12:44:07,49.68180422,18.39163726,3.79,366.454,,25.870,98,34,36,,
T,2024-10-04 12:44:08,49.68177440,18.39198874,3.79,366.505,,25.860,98,34,36,,
T,2024-10-04 12:44:09,49.68174173,18.39234425,3.79,366.476,,25.850,99,34,36,,
T,2024-10-04 12:44:10,49.68170797,18.39269720,3.79,366.690,,25.840,99,34,36,,
T,2024-10-04 12:44:11,49.68167013,18.39304930,3.79,367.167,,25.830,99,34,36,,
T,2024-10-04 12:44:12,49.68163513,18.39340534,3.79,367.331,,25.820,100,34,36,,
T,2024-10-04 12:44:13,49.68159372,18.39375784,3.79,367.655,,25.820,101,34,36,,
T,2024-10-04 12:44:14,49.68155113,18.39410635,3.79,367.727,,25.810,101,34,36,,
T,2024-10-04 12:44:15,49.68150490,18.39445595,3.79,367.794,,25.790,101,34,36,,
T,2024-10-04 12:44:16,49.68145695,18.39480538,3.79,367.836,,25.760,102,34,36,,
T,2024-10-04 12:44:17,49.68141021,18.39515906,3.79,367.966,,25.750,103,34,36,,
T,2024-10-04 12:44:18,49.68135886,18.39550862,3.79,368.204,,25.700,103,33,35,,
T,2024-10-04 12:44:19,49.68130613,18.39585656,3.79,368.422,,25.680,104,33,35,,
T,2024-10-04 12:44:20,49.68125188,18.39620310,3.79,368.633,,25.620,104,33,35,,
T,2024-10-04 12:44:21,49.68119483,18.39654601,3.79,368.942,,25.560,104,32,34,,
T,2024-10-04 12:44:22,49.68113670,18.39688933,3.79,369.107,,25.530,105,32,35,,
T,2024-10-04 12:44:23,49.68107643,18.39723004,3.79,369.334,,25.500,106,34,37,,
T,2024-10-04 12:44:24,49.68101402,18.39757093,3.79,369.511,,25.460,106,34,37,,
T,2024-10-04 12:44:25,49.68094530,18.39790867,3.79,369.753,,25.340,108,34,37,,
T,2024-10-04 12:44:26,49.68087512,18.39823864,3.79,370.425,,25.140,109,34,37,,
T,2024-10-04 12:44:27,49.68080087,18.39856410,3.79,371.110,,24.850,110,33,36,,
T,2024-10-04 12:44:28,49.68072376,18.39888118,3.79,372.321,,24.490,112,33,36,,
T,2024-10-04 12:44:29,49.68063519,18.39918250,3.79,373.531,,24.090,116,35,37,,
T,2024-10-04 12:44:30,49.68053345,18.39947290,3.79,374.656,,23.700,121,35,37,,
T,2024-10-04 12:44:31,49.68041997,18.39974536,3.79,375.960,,23.290,126,34,36,,
T,2024-10-04 12:44:32,49.68029652,18.39999729,3.79,376.995,,22.890,130,34,36,,
T,2024-10-04 12:44:33,49.68016573,18.40023770,3.79,378.408,,22.670,132,34,36,,
T,2024-10-04 12:44:34,49.68003397,18.40047266,3.79,379.449,,22.610,132,34,36,,
T,2024-10-04 12:44:35,49.67990215,18.40071190,3.79,380.120,,22.570,132,34,37,,
T,2024-10-04 12:44:36,49.67977498,18.40095170,3.79,380.529,,22.320,131,35,37,,
T,2024-10-04 12:44:37,49.67965053,18.40118072,3.79,380.894,,21.830,130,35,37,,
T,2024-10-04 12:44:38,49.67953179,18.40140854,3.79,380.620,,21.400,128,35,38,,
T,2024-10-04 12:44:39,49.67941730,18.40163945,3.79,380.507,,21.050,126,36,39,,
T,2024-10-04 12:44:40,49.67930879,18.40187698,3.79,380.031,,20.790,122,36,39,,
T,2024-10-04 12:44:41,49.67921520,18.40211972,3.79,379.328,,20.640,117,36,39,,
T,2024-10-04 12:44:42,49.67912870,18.40237531,3.79,378.756,,20.590,113,36,39,,
T,2024-10-04 12:44:43,49.67905666,18.40263461,3.79,378.233,,20.430,108,36,39,,
T,2024-10-04 12:44:44,49.67899813,18.40290003,3.79,377.529,,20.320,103,35,38,,
T,2024-10-04 12:44:45,49.67895319,18.40317328,3.79,376.920,,20.180,98,35,38,,
T,2024-10-04 12:44:46,49.67892590,18.40345064,3.79,376.543,,20.020,93,35,38,,
T,2024-10-04 12:44:47,49.67890829,18.40372835,3.79,376.047,,19.830,89,34,37,,
T,2024-10-04 12:44:48,49.67890160,18.40400231,3.79,375.855,,19.600,86,35,38,,
T,2024-10-04 12:44:49,49.67890136,18.40427812,3.79,375.682,,19.450,85,34,38,,
T,2024-10-04 12:44:50,49.67889994,18.40455185,3.79,375.627,,19.580,87,34,38,,
T,2024-10-04 12:44:51,49.67889064,18.40482601,3.79,375.556,,19.870,90,35,39,,
T,2024-10-04 12:44:52,49.67887761,18.40510624,3.79,375.818,,20.290,94,34,37,,
T,2024-10-04 12:44:53,49.67885498,18.40539260,3.79,375.942,,20.740,98,33,36,,
T,2024-10-04 12:44:54,49.67881915,18.40567909,3.79,376.129,,21.130,103,33,36,,
T,2024-10-04 12:44:55,49.67876991,18.40596927,3.79,376.365,,21.540,108,33,36,,
T,2024-10-04 12:44:56,49.67870415,18.40625102,3.79,376.855,,21.880,113,34,37,,
T,2024-10-04 12:44:57,49.67862122,18.40653491,3.79,376.967,,22.230,117,34,40,,
T,2024-10-04 12:44:58,49.67853244,18.40681415,3.79,377.502,,22.620,120,34,40,,
T,2024-10-04 12:44:59,49.67843829,18.40709594,3.79,377.905,,22.890,120,34,40,,
T,2024-10-04 12:45:00,49.67833506,18.40737508,3.79,377.900,,23.520,120,35,39,,
T,2024-10-04 12:45:01,49.67824100,18.40767502,3.79,378.441,,23.930,119,34,39,,
T,2024-10-04 12:45:02,49.67814536,18.40797863,3.79,378.655,,24.270,118,35,39,,
T,2024-10-04 12:45:03,49.67804819,18.40828037,3.79,379.128,,24.360,116,35,40,,
T,2024-10-04 12:45:04,49.67795028,18.40857935,3.79,379.250,,24.190,116,34,39,,
T,2024-10-04 12:45:05,49.67785777,18.40887790,3.79,379.815,,23.910,116,34,39,,
T,2024-10-04 12:45:06,49.67776416,18.40917149,3.79,379.794,,23.680,117,35,40,,
T,2024-10-04 12:45:07,49.67766815,18.40947057,3.79,380.333,,23.520,117,35,40,,
T,2024-10-04 12:45:08,49.67757253,18.40976409,3.79,380.725,,23.400,117,35,40,,
T,2024-10-04 12:45:09,49.67747890,18.41005682,3.79,380.811,,23.450,117,34,39,,
T,2024-10-04 12:45:10,49.67738537,18.41034813,3.79,381.031,,23.570,116,35,39,,
T,2024-10-04 12:45:11,49.67729228,18.41064664,3.79,381.161,,23.790,116,35,39,,
T,2024-10-04 12:45:12,49.67719826,18.41094708,3.79,381.469,,24.060,115,36,40,,
T,2024-10-04 12:45:13,49.67710723,18.41125644,3.79,381.498,,24.460,114,36,40,,
T,2024-10-04 12:45:14,49.67701786,18.41157462,3.79,381.495,,24.910,113,36,40,,
T,2024-10-04 12:45:15,49.67692811,18.41189713,3.79,381.820,,25.330,113,35,39,,
T,2024-10-04 12:45:16,49.67684340,18.41222489,3.79,381.997,,25.320,112,35,39,,
T,2024-10-04 12:45:17,49.67675742,18.41255043,3.79,382.045,,24.930,112,35,38,,
T,2024-10-04 12:45:18,49.67667809,18.41287082,3.79,382.169,,24.520,111,35,38,,
T,2024-10-04 12:45:19,49.67660315,18.41318456,3.79,382.496,,24.150,110,36,39,,
T,2024-10-04 12:45:20,49.67653170,18.41349681,3.79,382.627,,23.860,109,36,38,,
T,2024-10-04 12:45:21,49.67646328,18.41380552,3.79,383.025,,23.630,108,35,37,,
T,2024-10-04 12:45:22,49.67640022,18.41411519,3.79,383.304,,23.490,107,35,38,,
T,2024-10-04 12:45:23,49.67633765,18.41442546,3.79,383.601,,23.410,107,34,37,,
T,2024-10-04 12:45:24,49.67627824,18.41473216,3.79,383.893,,23.320,106,34,38,,
T,2024-10-04 12:45:25,49.67622176,18.41503954,3.79,384.062,,23.300,105,35,39,,
T,2024-10-04 12:45:26,49.67616958,18.41535041,3.79,384.401,,23.350,104,35,39,,
T,2024-10-04 12:45:27,49.67611915,18.41566200,3.79,384.617,,23.420,104,35,39,,
T,2024-10-04 12:45:28,49.67607133,18.41597779,3.79,384.944,,23.460,103,35,39,,
T,2024-10-04 12:45:29,49.67602660,18.41629596,3.79,385.057,,23.630,102,35,40,,
T,2024-10-04 12:45:30,49.67598702,18.41662444,3.79,385.202,,24.020,101,36,40,,
T,2024-10-04 12:45:31,49.67594418,18.41695652,3.79,385.513,,24.470,99,35,40,,
T,2024-10-04 12:45:32,49.67591108,18.41729828,3.79,385.684,,24.980,97,35,40,,
T,2024-10-04 12:45:33,49.67588162,18.41764806,3.79,386.072,,25.440,97,35,40,,
T,2024-10-04 12:45:34,49.67585436,18.41800527,3.79,386.186,,25.930,97,35,40,,
T,2024-10-04 12:45:35,49.67582381,18.41836909,3.79,386.309,,26.310,97,35,40,,
T,2024-10-04 12:45:36,49.67579184,18.41873308,3.79,386.695,,26.360,98,34,39,,
T,2024-10-04 12:45:37,49.67576338,18.41909634,3.79,386.896,,26.250,98,33,39,,
T,2024-10-04 12:45:38,49.67572857,18.41945181,3.79,387.026,,26.090,99,33,39,,
T,2024-10-04 12:45:39,49.67569116,18.41980844,3.79,387.337,,25.990,99,33,39,,
T,2024-10-04 12:45:40,49.67564973,18.42016480,3.79,387.540,,26.020,100,34,40,,
T,2024-10-04 12:45:41,49.67560867,18.42051779,3.79,387.903,,26.090,101,35,41,,
T,2024-10-04 12:45:42,49.67556202,18.42087145,3.79,387.959,,26.200,101,35,41,,
T,2024-10-04 12:45:43,49.67551574,18.42123245,3.79,388.004,,26.300,102,35,41,,
T,2024-10-04 12:45:44,49.67546480,18.42159147,3.79,388.362,,26.360,103,35,40,,
T,2024-10-04 12:45:45,49.67540769,18.42194651,3.79,388.627,,26.430,104,35,40,,
T,2024-10-04 12:45:46,49.67534965,18.42229767,3.79,388.985,,26.450,105,35,39,,
T,2024-10-04 12:45:47,49.67528815,18.42265210,3.79,389.099,,26.380,106,35,39,,
T,2024-10-04 12:45:48,49.67522004,18.42300078,3.79,389.469,,26.270,107,35,39,,
T,2024-10-04 12:45:49,49.67515039,18.42334966,3.79,389.916,,26.140,108,36,39,,
T,2024-10-04 12:45:50,49.67507759,18.42369184,3.79,390.265,,26.000,109,36,39,,
T,2024-10-04 12:45:51,49.67499951,18.42402964,3.79,390.872,,25.860,110,37,39,,
T,2024-10-04 12:45:52,49.67492182,18.42436737,3.79,391.157,,25.740,111,37,39,,
T,2024-10-04 12:45:53,49.67484008,18.42470246,3.79,391.541,,25.710,111,36,40,,
T,2024-10-04 12:45:54,49.67475436,18.42503331,3.79,392.030,,25.690,112,36,39,,
T,2024-10-04 12:45:55,49.67466669,18.42535712,3.79,392.466,,25.710,113,36,39,,
T,2024-10-04 12:45:56,49.67457215,18.42568388,3.79,392.693,,25.740,114,36,39,,
T,2024-10-04 12:45:57,49.67447731,18.42600072,3.79,393.311,,25.530,115,35,39,,
T,2024-10-04 12:45:58,49.67437975,18.42632099,3.79,393.893,,25.750,116,34,38,,
T,2024-10-04 12:45:59,49.67427683,18.42664528,3.79,394.269,,25.770,116,35,39,,
T,2024-10-04 12:46:00,49.67417596,18.42696665,3.79,394.612,,25.780,116,36,40,,
T,2024-10-04 12:46:01,49.67407388,18.42728871,3.79,395.222,,25.790,116,36,40,,
T,2024-10-04 12:46:02,49.67397228,18.42760906,3.79,395.734,,25.800,116,36,40,,
T,2024-10-04 12:46:03,49.67387522,18.42793227,3.79,396.147,,25.790,116,36,40,,
T,2024-10-04 12:46:04,49.67377623,18.42825910,3.79,396.781,,25.780,115,36,41,,
T,2024-10-04 12:46:05,49.67367729,18.42858487,3.79,397.166,,25.790,115,37,41,,
T,2024-10-04 12:46:06,49.67357882,18.42890802,3.79,397.366,,25.750,115,37,41,,
T,2024-10-04 12:46:07,49.67348208,18.42923073,3.79,398.017,,25.760,114,37,41,,
T,2024-10-04 12:46:08,49.67338419,18.42955748,3.79,398.532,,25.750,114,37,41,,
T,2024-10-04 12:46:09,49.67328896,18.42988868,3.79,399.134,,25.750,114,37,41,,
T,2024-10-04 12:46:10,49.67319717,18.43022039,3.79,399.583,,25.590,113,37,41,,
T,2024-10-04 12:46:11,49.67310601,18.43054776,3.79,400.014,,25.750,113,37,41,,
T,2024-10-04 12:46:12,49.67301651,18.43087617,3.79,400.771,,25.730,113,37,41,,
T,2024-10-04 12:46:13,49.67292657,18.43120529,3.79,400.978,,25.730,112,36,41,,
T,2024-10-04 12:46:14,49.67283786,18.43153298,3.79,401.187,,25.780,112,36,41,,
T,2024-10-04 12:46:15,49.67275101,18.43186193,3.79,401.298,,25.750,112,36,41,,
T,2024-10-04 12:46:16,49.67266795,18.43219453,3.79,401.737,,25.750,111,36,41,,
T,2024-10-04 12:46:17,49.67258459,18.43252743,3.79,402.098,,25.780,111,36,41,,
T,2024-10-04 12:46:18,49.67250240,18.43286113,3.79,402.368,,25.800,111,36,41,,
T,2024-10-04 12:46:19,49.67241895,18.43319340,3.79,402.568,,25.760,110,36,41,,
T,2024-10-04 12:46:20,49.67233338,18.43353369,3.79,402.189,,25.890,110,36,41,,
T,2024-10-04 12:46:21,49.67225431,18.43387172,3.79,402.160,,25.890,110,36,41,,
T,2024-10-04 12:46:22,49.67217437,18.43420691,3.79,402.646,,25.930,110,36,41,,
T,2024-10-04 12:46:23,49.67209478,18.43454503,3.79,402.525,,26.000,109,36,41,,
T,2024-10-04 12:46:24,49.67202158,18.43488804,3.79,402.698,,26.080,108,36,41,,
T,2024-10-04 12:46:25,49.67194923,18.43523582,3.79,402.737,,26.170,108,36,41,,
T,2024-10-04 12:46:26,49.67187970,18.43558240,3.79,402.488,,26.250,107,37,41,,
T,2024-10-04 12:46:27,49.67180764,18.43592914,3.79,402.567,,26.340,107,37,41,,
T,2024-10-04 12:46:28,49.67174038,18.43628058,3.79,402.446,,26.400,107,37,40,,
T,2024-10-04 12:46:29,49.67167378,18.43663504,3.79,402.368,,26.460,107,37,40,,
T,2024-10-04 12:46:30,49.67160545,18.43698584,3.79,402.191,,26.570,107,37,40,,
T,2024-10-04 12:46:31,49.67153895,18.43734114,3.79,401.763,,26.620,107,36,39,,
T,2024-10-04 12:46:32,49.67146834,18.43769462,3.79,401.371,,26.680,107,35,39,,
T,2024-10-04 12:46:33,49.67139886,18.43805108,3.79,400.773,,26.710,107,34,39,,
T,2024-10-04 12:46:34,49.67132986,18.43840472,3.79,400.567,,26.740,107,33,39,,
T,2024-10-04 12:46:35,49.67125805,18.43875734,3.79,400.375,,26.700,107,33,40,,
T,2024-10-04 12:46:36,49.67119114,18.43910682,3.79,400.332,,26.640,107,34,40,,
T,2024-10-04 12:46:37,49.67112166,18.43945770,3.79,400.242,,26.520,107,35,40,,
T,2024-10-04 12:46:38,49.67105317,18.43980302,3.79,400.450,,26.370,107,35,40,,
T,2024-10-04 12:46:39,49.67098512,18.44014843,3.79,400.712,,26.180,107,36,40,,
T,2024-10-04 12:46:40,49.67091994,18.44049537,3.79,401.150,,25.960,107,37,39,,
T,2024-10-04 12:46:41,49.67085379,18.44083587,3.79,401.115,,25.760,107,37,39,,
T,2024-10-04 12:46:42,49.67078802,18.44117491,3.79,401.498,,25.560,107,37,39,,
T,2024-10-04 12:46:43,49.67071991,18.44151142,3.79,401.941,,25.370,107,36,39,,
T,2024-10-04 12:46:44,49.67065555,18.44184476,3.79,402.399,,25.210,107,37,39,,
T,2024-10-04 12:46:45,49.67059028,18.44217544,3.79,403.017,,25.090,107,37,40,,
T,2024-10-04 12:46:46,49.67052686,18.44250201,3.79,403.560,,25.040,107,36,40,,
T,2024-10-04 12:46:47,49.67046158,18.44283155,3.79,404.177,,25.020,107,36,41,,
T,2024-10-04 12:46:48,49.67039264,18.44316492,3.79,404.593,,25.010,107,36,41,,
T,2024-10-04 12:46:49,49.67032781,18.44350031,3.79,405.057,,24.980,107,36,41,,
T,2024-10-04 12:46:50,49.67026269,18.44383316,3.79,405.548,,25.000,107,36,41,,
T,2024-10-04 12:46:51,49.67019640,18.44416771,3.79,405.424,,25.020,107,36,41,,
T,2024-10-04 12:46:52,49.67012977,18.44450549,3.79,405.491,,25.070,107,36,41,,
T,2024-10-04 12:46:53,49.67006288,18.44484104,3.79,405.589,,25.140,107,36,41,,
T,2024-10-04 12:46:54,49.66999965,18.44517553,3.79,405.662,,25.200,107,36,41,,
T,2024-10-04 12:46:55,49.66993233,18.44550975,3.79,405.447,,25.300,107,36,41,,
T,2024-10-04 12:46:56,49.66986742,18.44585138,3.79,405.125,,25.420,107,36,41,,
T,2024-10-04 12:46:57,49.66979894,18.44619172,3.79,404.612,,25.560,107,35,41,,
T,2024-10-04 12:46:58,49.66973326,18.44653106,3.79,404.510,,25.720,107,35,41,,
T,2024-10-04 12:46:59,49.66966729,18.44687996,3.79,404.491,,25.880,107,35,41,,
T,2024-10-04 12:47:00,49.66960210,18.44722517,3.79,404.064,,26.030,107,35,41,,
T,2024-10-04 12:47:01,49.66953559,18.44757154,3.79,403.911,,26.140,106,35,41,,
T,2024-10-04 12:47:02,49.66946846,18.44791868,3.79,403.746,,26.260,107,35,41,,
T,2024-10-04 12:47:03,49.66939970,18.44826771,3.79,403.100,,26.370,107,34,40,,
T,2024-10-04 12:47:04,49.66933231,18.44861780,3.79,403.115,,26.400,107,34,40,,
T,2024-10-04 12:47:05,49.66926713,18.44896732,3.79,403.301,,26.400,107,34,40,,
T,2024-10-04 12:47:06,49.66919823,18.44932049,3.79,403.442,,26.350,107,34,41,,
T,2024-10-04 12:47:07,49.66913141,18.44966501,3.79,403.669,,26.280,107,35,41,,
T,2024-10-04 12:47:08,49.66906420,18.45001569,3.79,403.692,,26.150,107,35,41,,
T,2024-10-04 12:47:09,49.66899638,18.45035906,3.79,403.736,,25.980,107,37,41,,
T,2024-10-04 12:47:10,49.66892942,18.45070265,3.79,404.092,,25.910,107,37,41,,
T,2024-10-04 12:47:11,49.66886540,18.45104583,3.79,404.241,,25.980,107,36,40,,
T,2024-10-04 12:47:12,49.66879870,18.45139012,3.79,404.720,,25.870,107,36,40,,
T,2024-10-04 12:47:13,49.66873296,18.45173573,3.79,404.903,,25.970,107,35,41,,
T,2024-10-04 12:47:14,49.66866597,18.45207946,3.79,405.012,,26.110,107,35,41,,
T,2024-10-04 12:47:15,49.66859933,18.45242523,3.79,405.153,,26.260,107,35,41,,
T,2024-10-04 12:47:16,49.66852881,18.45277864,3.79,405.291,,26.380,107,35,40,,
T,2024-10-04 12:47:17,49.66846129,18.45312756,3.79,405.384,,26.450,107,35,40,,
T,2024-10-04 12:47:18,49.66839109,18.45348095,3.79,405.580,,26.500,107,35,39,,
T,2024-10-04 12:47:19,49.66832570,18.45383043,3.79,405.717,,26.500,107,35,39,,
T,2024-10-04 12:47:20,49.66825655,18.45417789,3.79,405.676,,26.350,107,35,40,,
T,2024-10-04 12:47:21,49.66818958,18.45452514,3.79,405.524,,26.140,107,37,40,,
T,2024-10-04 12:47:22,49.66812055,18.45487071,3.79,405.680,,26.020,107,36,40,,
T,2024-10-04 12:47:23,49.66805190,18.45522384,3.79,405.477,,26.030,107,36,40,,
T,2024-10-04 12:47:24,49.66798605,18.45556969,3.79,405.316,,26.020,107,35,40,,
T,2024-10-04 12:47:25,49.66792025,18.45591270,3.79,405.161,,25.930,107,33,40,,
T,2024-10-04 12:47:26,49.66785277,18.45625354,3.79,404.760,,25.920,107,33,38,,
T,2024-10-04 12:47:27,49.66778458,18.45659591,3.79,404.309,,25.920,107,33,38,,
T,2024-10-04 12:47:28,49.66771873,18.45693363,3.79,404.102,,25.890,106,34,38,,
T,2024-10-04 12:47:29,49.66765395,18.45727720,3.79,403.760,,25.790,105,34,38,,
T,2024-10-04 12:47:30,49.66759398,18.45762167,3.79,403.193,,25.770,105,35,38,,
T,2024-10-04 12:47:31,49.66753978,18.45797068,3.79,402.966,,25.730,104,35,38,,
T,2024-10-04 12:47:32,49.66748516,18.45831731,3.79,402.482,,25.680,103,35,38,,
T,2024-10-04 12:47:33,49.66743337,18.45866261,3.79,402.313,,25.600,102,35,38,,
T,2024-10-04 12:47:34,49.66739260,18.45900743,3.79,401.947,,25.510,100,34,38,,
T,2024-10-04 12:47:35,49.66735645,18.45935385,3.79,401.821,,25.430,98,36,39,,
T,2024-10-04 12:47:36,49.66732578,18.45969923,3.79,401.579,,25.370,97,36,40,,
T,2024-10-04 12:47:37,49.66730065,18.46004629,3.79,401.278,,25.270,95,37,40,,
T,2024-10-04 12:47:38,49.66728104,18.46039325,3.79,401.194,,25.180,94,37,40,,
T,2024-10-04 12:47:39,49.66726795,18.46073886,3.79,401.122,,25.110,93,37,39,,
T,2024-10-04 12:47:40,49.66726263,18.46108525,3.79,400.887,,25.110,91,36,39,,
T,2024-10-04 12:47:41,49.66726122,18.46143264,3.79,400.383,,25.080,90,35,39,,
T,2024-10-04 12:47:42,49.66726484,18.46178199,3.79,399.880,,25.050,89,35,39,,
T,2024-10-04 12:47:43,49.66727127,18.46212924,3.79,399.596,,24.990,87,36,39,,
T,2024-10-04 12:47:44,49.66728674,18.46247372,3.79,399.439,,24.920,85,34,37,,
T,2024-10-04 12:47:45,49.66730476,18.46281852,3.79,399.113,,24.810,84,34,37,,
T,2024-10-04 12:47:46,49.66733108,18.46315805,3.79,398.816,,24.690,83,36,39,,
T,2024-10-04 12:47:47,49.66736561,18.46349965,3.79,398.676,,24.570,82,36,39,,
T,2024-10-04 12:47:48,49.66740299,18.46383457,3.79,398.261,,24.400,80,36,39,,
T,2024-10-04 12:47:49,49.66744360,18.46416769,3.79,398.087,,24.230,79,36,40,,
T,2024-10-04 12:47:50,49.66748587,18.46449648,3.79,398.021,,24.040,78,36,39,,
T,2024-10-04 12:47:51,49.66753393,18.46481944,3.79,397.992,,23.860,76,36,39,,
T,2024-10-04 12:47:52,49.66758527,18.46514044,3.79,398.048,,23.920,75,36,40,,
T,2024-10-04 12:47:53,49.66764597,18.46546059,3.79,398.070,,24.190,73,35,39,,
T,2024-10-04 12:47:54,49.66771479,18.46578168,3.79,398.108,,24.440,71,35,39,,
T,2024-10-04 12:47:55,49.66778875,18.46610549,3.79,398.258,,24.720,70,35,38,,
T,2024-10-04 12:47:56,49.66786519,18.46642989,3.79,398.391,,24.950,69,35,38,,
T,2024-10-04 12:47:57,49.66794846,18.46675526,3.79,398.515,,25.090,67,35,37,,
T,2024-10-04 12:47:58,49.66803731,18.46707668,3.79,398.866,,25.220,66,35,37,,
T,2024-10-04 12:47:59,49.66813309,18.46739468,3.79,399.265,,25.260,65,35,39,,
T,2024-10-04 12:48:00,49.66823547,18.46771205,3.79,399.713,,25.290,64,34,39,,
T,2024-10-04 12:48:01,49.66834214,18.46802591,3.79,399.891,,25.320,62,35,39,,
T,2024-10-04 12:48:02,49.66845300,18.46833175,3.79,400.188,,25.390,61,36,38,,
T,2024-10-04 12:48:03,49.66856708,18.46863616,3.79,400.541,,25.430,60,36,38,,
T,2024-10-04 12:48:04,49.66868038,18.46894127,3.79,400.677,,25.470,59,36,39,,
T,2024-10-04 12:48:05,49.66880022,18.46924119,3.79,400.760,,25.500,59,34,37,,
T,2024-10-04 12:48:06,49.66892006,18.46954542,3.79,400.837,,25.540,59,34,36,,
T,2024-10-04 12:48:07,49.66904045,18.46984602,3.79,401.158,,25.540,59,35,37,,
T,2024-10-04 12:48:08,49.66916157,18.47014892,3.79,401.574,,25.530,59,35,38,,
T,2024-10-04 12:48:09,49.66928059,18.47045596,3.79,401.706,,25.490,59,34,38,,
T,2024-10-04 12:48:10,49.66939818,18.47075643,3.79,402.205,,25.480,59,34,38,,
T,2024-10-04 12:48:11,49.66951720,18.47105825,3.79,402.252,,25.470,59,33,39,,
T,2024-10-04 12:48:12,49.66963669,18.47135989,3.79,402.367,,25.560,59,33,38,,
T,2024-10-04 12:48:13,49.66975627,18.47166225,3.79,402.507,,25.650,59,33,38,,
T,2024-10-04 12:48:14,49.66987542,18.47196757,3.79,402.604,,25.700,59,34,39,,
T,2024-10-04 12:48:15,49.66999541,18.47227070,3.79,402.733,,25.610,59,33,38,,
T,2024-10-04 12:48:16,49.67011419,18.47257111,3.79,402.879,,25.480,59,32,37,,
T,2024-10-04 12:48:17,49.67023224,18.47287269,3.79,402.964,,25.350,59,32,37,,
T,2024-10-04 12:48:18,49.67035022,18.47317114,3.79,402.884,,25.200,59,34,39,,
T,2024-10-04 12:48:19,49.67046845,18.47346929,3.79,402.678,,25.080,59,34,38,,
T,2024-10-04 12:48:20,49.67058446,18.47376453,3.79,402.653,,24.980,59,34,38,,
T,2024-10-04 12:48:21,49.67069959,18.47405907,3.79,402.755,,24.890,59,34,38,,
T,2024-10-04 12:48:22,49.67081656,18.47434955,3.79,402.551,,24.820,59,34,38,,
T,2024-10-04 12:48:23,49.67093147,18.47464350,3.79,402.460,,24.770,59,33,38,,
T,2024-10-04 12:48:24,49.67104652,18.47493439,3.79,402.389,,24.740,59,32,38,,
T,2024-10-04 12:48:25,49.67116171,18.47522917,3.79,402.410,,24.760,59,32,38,,
T,2024-10-04 12:48:26,49.67127632,18.47552332,3.79,402.309,,24.870,59,33,38,,
T,2024-10-04 12:48:27,49.67139577,18.47582197,3.79,402.156,,25.010,59,33,38,,
T,2024-10-04 12:48:28,49.67151220,18.47612021,3.79,401.886,,25.160,59,34,38,,
T,2024-10-04 12:48:29,49.67162849,18.47642065,3.79,401.709,,25.360,59,34,37,,
T,2024-10-04 12:48:30,49.67175018,18.47671856,3.79,401.679,,25.540,59,34,37,,
T,2024-10-04 12:48:31,49.67187207,18.47702359,3.79,401.706,,25.790,59,33,38,,
T,2024-10-04 12:48:32,49.67199354,18.47733692,3.79,401.563,,26.010,59,32,37,,
T,2024-10-04 12:48:33,49.67211939,18.47765128,3.79,401.194,,26.210,59,32,37,,
T,2024-10-04 12:48:34,49.67223539,18.47796560,3.79,401.119,,26.380,58,32,37,,
T,2024-10-04 12:48:35,49.67236020,18.47828041,3.79,401.019,,26.550,59,32,37,,
T,2024-10-04 12:48:36,49.67248654,18.47859508,3.79,400.884,,26.750,59,34,37,,
T,2024-10-04 12:48:37,49.67261158,18.47890997,3.79,400.731,,26.880,59,34,37,,
T,2024-10-04 12:48:38,49.67273373,18.47923018,3.79,400.842,,27.010,59,33,38,,
T,2024-10-04 12:48:39,49.67285897,18.47955210,3.79,400.682,,27.100,59,34,38,,
T,2024-10-04 12:48:40,49.67298501,18.47987177,3.79,400.491,,27.060,59,33,37,,
T,2024-10-04 12:48:41,49.67311060,18.48019160,3.79,400.504,,27.030,59,33,37,,
